-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.06.2018	13:30	2	27	27	60,66	61,66	1,00	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	28	28	61,66	67,55	5,89	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	29	29	67,59	68,25	0,66	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	30	30	68,71	70,29	1,58	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	31	31	71,29	72,62	1,33	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	32	32	74,87	75,52	0,65	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	33	33	75,84	77,90	2,06	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	34	34	77,98	79,11	1,13	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	35	35	79,15	79,76	0,61	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	36	36	80,17	81,10	0,93	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	37	37	82,23	83,78	1,55	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	38	38	84,52	85,14	0,62	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	39	39	85,63	87,29	1,66	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	40	40	87,35	89,40	2,05	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	41	41	89,55	90,07	0,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	42	42	90,12	91,70	1,58	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	43	43	91,70	92,59	0,89	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	44	44	92,61	93,14	0,53	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	45	45	94,24	95,70	1,46	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	46	46	97,26	99,05	1,79	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	47	47	99,05	99,59	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	48	48	100,39	115,14	14,75	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	49	49	115,14	128,06	12,92	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	50	50	128,06	132,53	4,47	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	51	51	132,57	134,20	1,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	52	52	134,22	135,79	1,57	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	53	53	135,81	137,74	1,93	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	54	54	137,74	138,44	0,70	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	55	55	138,49	139,16	0,67	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	56	56	139,85	143,65	3,80	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	57	57	143,92	152,51	8,59	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	58	58	152,86	153,40	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	59	59	153,40	154,78	1,38	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	60	60	155,40	156,16	0,76	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	61	61	156,19	156,71	0,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	62	62	156,73	158,12	1,39	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	63	63	158,39	160,29	1,90	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	64	64	160,29	161,79	1,50	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	65	65	161,81	162,35	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	66	66	162,35	163,57	1,22	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	67	67	163,60	166,89	3,29	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	68	68	166,89	167,59	0,70	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	69	69	168,06	168,63	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	70	70	168,97	169,83	0,86	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	71	71	169,83	171,26	1,43	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	72	72	171,28	171,85	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	73	73	172,39	173,00	0,61	1	1	Habituation	Habituation
