-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10007	1	1	05.07.2018	14:43	1	2	2	110,96	111,57	0,61	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	3	3	111,59	113,58	1,99	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	4	4	113,62	114,86	1,24	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	5	5	115,70	119,62	3,92	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	6	6	119,64	120,44	0,80	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	7	7	120,45	154,99	34,54	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	8	8	155,49	158,89	3,40	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	9	9	159,26	161,10	1,84	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:43	1	10	10	161,72	180,00	18,28	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	1	1	0,00	34,73	34,73	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	2	2	35,28	35,84	0,56	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	3	3	35,89	38,28	2,39	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	4	4	38,33	38,95	0,62	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	5	5	38,95	39,60	0,65	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	6	6	40,06	41,87	1,81	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	7	7	43,05	43,60	0,55	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	8	8	45,21	45,76	0,55	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	9	9	48,50	49,09	0,59	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	10	10	53,01	53,72	0,71	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	11	11	53,82	54,71	0,89	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	12	12	66,49	67,13	0,64	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	13	13	70,62	71,14	0,52	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	14	14	71,14	71,71	0,57	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	15	15	72,65	73,40	0,75	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	16	16	73,49	74,07	0,58	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	17	17	75,61	76,60	0,99	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	18	18	77,83	78,69	0,86	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	19	19	79,43	80,06	0,63	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	20	20	90,42	90,98	0,56	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	21	21	94,20	94,86	0,66	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	22	22	94,96	95,62	0,66	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	23	23	96,55	97,14	0,59	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	24	24	101,22	102,07	0,85	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	25	25	104,76	105,44	0,68	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	26	26	108,98	109,50	0,52	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	27	27	109,68	110,25	0,57	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	28	28	110,25	110,99	0,74	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	29	29	111,24	111,80	0,56	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	30	30	111,81	112,45	0,64	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	31	31	113,52	115,13	1,61	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	32	32	115,68	116,43	0,75	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	33	33	116,43	116,94	0,51	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	34	34	125,62	126,13	0,51	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	35	35	128,98	130,41	1,43	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	36	36	136,66	138,65	1,99	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	37	37	138,71	142,43	3,72	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	38	38	145,92	146,49	0,57	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	39	39	147,72	148,25	0,53	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	40	40	150,32	150,83	0,51	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	41	41	151,07	151,78	0,71	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	42	42	152,42	152,99	0,57	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	43	43	157,87	158,67	0,80	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	44	44	158,67	159,37	0,70	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	45	45	162,39	163,18	0,79	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	46	46	166,88	167,54	0,66	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	47	47	167,86	168,45	0,59	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	48	48	169,57	170,19	0,62	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	49	49	176,11	177,50	1,39	1	1	Habituation	Habituation
-900	10007	1	1	05.07.2018	14:47	2	50	50	177,50	178,19	0,69	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	1	1	0,82	1,53	0,71	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	2	2	1,53	2,67	1,14	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	3	3	2,67	3,26	0,59	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	4	4	3,31	4,45	1,14	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	5	5	4,98	6,87	1,89	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	6	6	7,28	8,93	1,65	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	7	7	8,93	10,14	1,21	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	8	8	10,14	11,14	1,00	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	9	9	11,28	14,82	3,54	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	10	10	16,05	16,71	0,66	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	11	11	17,29	18,04	0,75	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	12	12	18,36	19,78	1,42	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	13	13	19,84	23,82	3,98	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	14	14	23,84	24,68	0,84	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	15	15	25,37	26,31	0,94	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	16	16	26,42	27,15	0,73	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	17	17	29,09	30,47	1,38	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	18	18	30,49	31,65	1,16	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	19	19	31,65	35,22	3,57	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	20	20	35,22	36,57	1,35	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	21	21	37,05	38,60	1,55	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	22	22	40,04	40,63	0,59	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	23	23	40,68	42,73	2,05	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	24	24	42,73	49,26	6,53	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	25	25	49,26	50,11	0,85	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	26	26	50,45	57,41	6,96	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	27	27	58,03	58,94	0,91	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	28	28	59,75	60,47	0,72	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	29	29	61,30	63,24	1,94	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	30	30	63,53	64,22	0,69	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	31	31	64,27	65,39	1,12	1	1	Habituation	Habituation
-900	10006	1	1	05.07.2018	14:31	1	32	32	65,54	67,47	1,93	1	1	Habituation	Habituation
