-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.07.2018	14:15	3	33	33	102,53	103,43	0,90	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	34	34	103,43	113,07	9,64	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	35	35	113,09	114,30	1,21	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	36	36	114,30	119,79	5,49	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	37	37	120,02	120,93	0,91	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	38	38	120,95	121,73	0,78	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	39	39	121,75	125,02	3,27	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	40	40	125,14	132,01	6,87	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	41	41	132,01	132,93	0,92	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	42	42	132,93	133,82	0,89	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	43	43	133,84	134,62	0,78	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	44	44	134,64	140,13	5,49	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	45	45	140,13	147,60	7,47	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	46	46	147,62	170,87	23,25	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	47	47	170,89	172,67	1,78	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	48	48	172,67	173,65	0,98	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	49	49	176,76	177,34	0,58	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:15	3	50	50	177,36	179,92	2,56	1	1	Habituation	Habituation
-900	10006	1	1	06.07.2018	14:20	1	1	1	0,00	36,88	36,88	1	1	Habituation	Habituation
-900	10006	1	1	06.07.2018	14:20	1	2	2	37,18	39,01	1,83	1	1	Habituation	Habituation
