"seconds","M_10005","average","SE"
-0.11,-2.91490243224107,-2.91490243224107,NA
-0.0999999999999999,-2.81936788908772,-2.81936788908772,NA
-0.0899999999999999,-2.72657001498619,-2.72657001498619,NA
-0.0800000000000001,-2.63698031126533,-2.63698031126533,NA
-0.0700000000000001,-2.55105499048314,-2.55105499048314,NA
-0.0600000000000001,-2.46923055750925,-2.46923055750925,NA
-0.05,-2.39191959287094,-2.39191959287094,NA
-0.04,-2.31950678884319,-2.31950678884319,NA
-0.03,-2.25234528526619,-2.25234528526619,NA
-0.02,-2.19075334743685,-2.19075334743685,NA
-0.01,-2.13501142408321,-2.13501142408321,NA
0,-2.08535961761206,-2.08535961761206,NA
0.0100000000000002,-2.04199559389791,-2.04199559389791,NA
0.02,-2.00507295327297,-2.00507295327297,NA
0.0300000000000002,-1.97470007920868,-1.97470007920868,NA
0.04,-1.95093947523601,-1.95093947523601,NA
0.0499999999999998,-1.93380759211183,-1.93380759211183,NA
0.0600000000000001,-1.92327513953505,-1.92327513953505,NA
0.0699999999999998,-1.91926787054381,-1.91926787054381,NA
0.0800000000000001,-1.92166782425355,-1.92166782425355,NA
0.0899999999999999,-1.93031500882042,-1.93031500882042,NA
0.1,-1.94500949994831,-1.94500949994831,NA
0.11,-1.96551392347245,-1.96551392347245,NA
0.12,-1.99155628340764,-1.99155628340764,NA
0.13,-2.02283309499926,-2.02283309499926,NA
0.14,-2.05901278069585,-2.05901278069585,NA
0.15,-2.0997392837755,-2.0997392837755,NA
0.16,-2.14463585227703,-2.14463585227703,NA
0.17,-2.19330894410835,-2.19330894410835,NA
0.18,-2.24535220538139,-2.24535220538139,NA
0.19,-2.30035047346105,-2.30035047346105,NA
0.2,-2.35788375639509,-2.35788375639509,NA
0.21,-2.41753114110351,-2.41753114110351,NA
0.22,-2.47887458464587,-2.47887458464587,NA
0.23,-2.5415025467874,-2.5415025467874,NA
0.24,-2.605013423905,-2.605013423905,NA
0.25,-2.66901874823498,-2.66901874823498,NA
