"seconds","M_10005","M_10006","average","SE"
-0.52,-1.22668617033411,-4.11874050578732,-2.67271333806071,1.4460271677266
-0.51,-1.22582350209674,-4.03176348452679,-2.62879349331176,1.40296999121503
-0.5,-1.22275692704248,-3.94497892273043,-2.58386792488645,1.36111099784397
-0.49,-1.2175836759186,-3.85876001508547,-2.53817184550204,1.32058816958343
-0.48,-1.21041769644237,-3.77348276849129,-2.49195023246683,1.28153253602446
-0.47,-1.20138746078814,-3.68952293098081,-2.44545519588448,1.24406773509633
-0.46,-1.19063369135818,-3.60725267001761,-2.39894318068789,1.20830948932972
-0.45,-1.17830704525692,-3.52703705838599,-2.35267205182146,1.17436500656454
-0.44,-1.16456579803886,-3.44923043397866,-2.30689811600876,1.1423323179699
-0.43,-1.14957356256212,-3.37417270211938,-2.26187313234075,1.11229956977863
-0.42,-1.13349707422254,-3.30218565008676,-2.21784136215465,1.08434428793211
-0.41,-1.11650407244225,-3.23356934202759,-2.17503670723492,1.05853263479267
-0.4,-1.09876130482847,-3.16859866158775,-2.13367998320811,1.03491867837964
-0.39,-1.08043267714293,-3.10752006726211,-2.09397637220252,1.01354369505959
-0.38,-1.06167756985027,-3.05054862668536,-2.05611309826781,0.994435528417544
-0.37,-1.04264933743281,-2.99786539364774,-2.02025736554028,0.977608028107466
-0.36,-1.02349400137288,-2.94961518399911,-1.986554592686,0.963060591313115
-0.35,-1.00434914331978,-2.9059047951755,-1.95512696924764,0.95077782592786
-0.34,-0.985342999378277,-2.86680170124402,-1.92607235031115,0.94072935093287
-0.33,-0.966593751445487,-2.83233324727908,-1.89946349936228,0.932869747916796
-0.32,-0.948209010931027,-2.80248636139147,-1.87534768616125,0.927138675230223
-0.31,-0.930285490596133,-2.77720779522581,-1.85374664291097,0.92346115231484
-0.3,-0.912908857747464,-2.75640489313325,-1.83465687544036,0.921748017692892
-0.29,-0.896153757204945,-2.73994688009725,-1.8180503186511,0.921896561446153
