"Time(s)","AIn-2 - Demodulated(Lock-In)","AOut-2","AIn-3","AIn-1 - Demodulated(Lock-In)","AOut-1"
118.36,1.39439319893443,1,4.77521241631148,0.871388497172131,1
118.37,1.39493102516393,1,4.77493099590164,0.873162072680328,1
118.38,1.39547135254098,1,4.77531247778689,0.872899413459016,1
118.39,1.39578904557377,1,4.77486345467213,0.87072309352459,1
118.4,1.39634688270492,1,4.77520616319672,0.869444818319672,1
118.41,1.39733248081967,1,4.77486845827869,0.870527975090164,1
118.42,1.39795285688525,1,4.77493474786885,0.872241514614754,1
118.43,1.39814297196721,1,4.77500979401639,0.872216499467213,1
118.44,1.39751316892562,1,4.77470656206612,0.870281958190083,1
118.45,1.39670460016393,1,4.77499353385246,0.868636828319672,1
118.46,1.3965870292623,1,4.77491098352459,0.869112116581967,1
118.47,1.39684968754098,1,4.77516989106557,0.870855673868852,1
118.48,1.39738501254098,1,4.77471336336066,0.871633645967213,1
118.49,1.39747506770492,1,4.77485219803279,0.870122729385246,1
118.5,1.39729495762295,1,4.77479716459016,0.86817905054918,1
118.51,1.39723742319672,1,4.77469960532787,0.868119014106557,1
118.52,1.39722241385246,1,4.77489347286885,0.869965133819672,1
118.53,1.39743254106557,1,4.77475839122951,0.871343469877049,1
118.54,1.39738453727273,1,4.77502561942149,0.870327357603306,1
118.55,1.39718489204918,1,4.77472461983607,0.868334144713115,1
118.56,1.39715487286885,1,4.77525869508197,0.868068983827869,1
118.57,1.3972974597541,1,4.77471086196721,0.870250306795082,1
118.58,1.3975200942623,1,4.77513612,0.872476657172131,1
118.59,1.39738501221311,1,4.77518114721311,0.872274034311475,1
118.6,1.39703980360656,1,4.77487596245902,0.870292832491803,1
118.61,1.39633937827869,1,4.77489472368852,0.869264709139344,1
118.62,1.39558141918033,1,4.7748809652459,0.870180264204918,1
118.63,1.39515365901639,1,4.77517239254098,0.871100822581967,1
118.64,1.39460082459016,1,4.77464332073771,0.869742498852459,1
118.65,1.3937651946281,1,4.77490077099174,0.866609648355372,1
118.66,1.39239448721311,1,4.77491723737705,0.864479306663934,1
118.67,1.39102365622951,1,4.77492349106557,0.865187236172131,1
118.68,1.39047332270492,1,4.77531372803279,0.867213464803279,1
