"","seconds","X1","X2","X3","X4","X5","X6","X7","X8","X9","average","SE"
"61",-1.4,-5.36783893585708,-5.9934493941797,-4.71777202087238,-5.49791202400152,-5.74223276451946,-7.40199897292332,-5.32126568281533,-7.10861842960335,-7.30779893731247,-6.05098746245385,0.327120691700684
"62",-1.39,-5.31382033976477,-5.99379727233487,-4.73361414052736,-5.48534912377366,-5.70433092177221,-7.36597130504657,-5.35020705395151,-7.15462214632805,-7.23207985878551,-6.03708801803161,0.323904172678849
"63",-1.38,-5.26183105182035,-5.99393785498259,-4.74988321879368,-5.47183811964273,-5.66284322816088,-7.32458196410287,-5.38052369873549,-7.19329865119709,-7.15205489821572,-6.0211991872946,0.320281290213971
"64",-1.37,-5.21208735469384,-5.99350440220909,-4.76638370305937,-5.45766586485048,-5.61786489956533,-7.27835712362478,-5.41185668755137,-7.22414685569722,-7.06857098804718,-6.00338198658874,0.316297971294569
"65",-1.36,-5.16476832635761,-5.99214503132149,-4.78289476773194,-5.44314595502947,-5.56952305852488,-7.22785579456598,-5.44383158277183,-7.24673837730099,-6.98252191761984,-5.98371386791378,0.311998209082053
"66",-1.35,-5.1200154576088,-5.98952857936032,-4.79917201718987,-5.42861546418994,-5.5179781630399,-7.173666826761,-5.47606269854648,-7.2607225759659,-6.89483710719386,-5.96228876553956,0.307423327660753
"67",-1.34,-5.07793274653993,-5.98535010219748,-4.81494972693164,-5.41443115326425,-5.46342507101489,-7.11640547596009,-5.50815763692082,-7.26583083171143,-6.80646992850273,-5.93921696367147,0.302611564762275
"68",-1.33,-5.03858725711695,-5.97933593577733,-4.82994360908778,-5.40096519451997,-5.40609369638936,-7.05670953948387,-5.53972205021143,-7.2618800155475,-6.71838573906928,-5.9146247819115,0.29759803599796
"69",-1.32,-5.00201012408553,-5.97124824835563,-4.84385408312466,-5.38860046147977,-5.34624922086987,-6.99523507195043,-5.57036457449137,-7.24877510909321,-6.6315497925585,-5.88865407622322,0.292415133506529
"70",-1.31,-4.96819797716731,-5.9608890173576,-4.85637001903082,-5.37772544225477,-5.28419183109814,-6.93265170062467,-5.59970187721942,-7.22651093947069,-6.54691518654065,-5.86146155452934,0.287093397413559
"71",-1.3,-4.9371147545145,-5.94810336551601,-4.86717290959302,-5.36872883775705,-5.22025595093052,-6.86963756873831,-5.62736375498528,-7.19517300394028,-6.46541101489967,-5.83321790676385,0.281662879151546
"72",-1.29,-4.90869387087677,-5.9327822101502,-4.87594142065426,-5.36199391688824,-5.15480894414435,-6.80687394561779,-5.65299821164088,-7.15493736290157,-6.38793088904353,-5.80410675243529,0.276154990793448
"73",-1.28,-4.88284070030583,-5.91486419729048,-4.88235626083006,-5.35789271294095,-5.08824927848666,-6.74503954688774,-5.67627644370199,-7.10606959312748,-6.31532198046852,-5.77432341267108,0.270604804730103
"74",-1.27,-4.85943532935917,-5.89433689696171,-4.88610530602186,-5.35678014373944,-5.02100414797467,-6.68480461219951,-5.69689765490348,-7.04892281062461,-6.24837472489557,-5.74407351407556,0.265053733274306
"75",-1.26,-4.83833553299151,-5.87123723904815,-4.88688889929586,-5.35898814190655,-4.95352656053311,-6.6268248015308,-5.71459362589209,-6.98393478136311,-6.187813322066,-5.71357143384746,0.25955247497959
"76",-1.25,-4.81937993112457,-5.84565118393619,-4.88442523451672,-5.36481988351305,-4.8862919036364,-6.57173498043245,-5.72913297192229,-6.91162414231526,-6.13428715921592,-5.68303859895698,0.254164058748716
"77",-1.24,-4.80239128725541,-5.8177126389956,-4.87845573369387,-5.37454420291317,-4.81979400911083,-6.52014296542155,-5.74032502768342,-6.83258575740089,-6.08836326822429,-5.65270165452211,0.2489667432757
"78",-1.23,-4.78717990404126,-5.78760164134529,-4.86875033314366,-5.38839028532225,-4.754540756883,-6.47262330271585,-5.74802329064543,-6.74748523842694,-6.05051990284521,-5.62279051726321,0.244056436204791
"79",-1.22,-4.77354707203577,-5.75554183858655,-4.85511258727021,-5.40654272495184,-4.69104926119278,-6.42971115808837,-5.75212835224339,-6.6570526776747,-6.02114130775848,-5.59353633108912,0.239548189333481
"80",-1.21,-4.76128853041215,-5.72179730336861,-4.83738449330045,-5.42913703524687,-4.62984068661293,-6.39189640407047,-5.75259026384374,-6.56207565609823,-6.00051373761357,-5.56516934561856,0.235576218044079
"81",-1.2,-4.75019789986966,-5.68666872982786,-4.81545094475482,-5.45625569526011,-4.57143475027694,-6.35961798867894,-5.74941029044517,-6.46339159768784,-5.98882276903673,-5.53791674064867,0.232291822473932
"82",-1.19,-4.74007004467369,-5.65048907264826,-4.78924372137503,-5.48792480886616,-4.5163439741865,-6.333258666103,-5.7426420061208,-6.36187953627251,-5.98615192969741,-5.51200041777148,0.229858623949273
"83",-1.18,-4.73070432111583,-5.61361869763153,-4.75874492797932,-5.52411144344802,-4.46506776227006,-6.31314016887122,-5.73239169311971,-6.25845136924854,-5.99248264892961,-5.48763478140154,0.228444760366197
"84",-1.17,-4.72190767785287,-5.57644011630337,-4.72398980154175,-5.56472170125699,-4.4180863801035,-6.29951889677312,-5.71881802013884,-6.15404268686332,-6.00769551543916,-5.46502453291921,0.228212175154829
"85",-1.16,-4.7134975808515,-5.53935237638385,-4.68506881627075,-5.60959957008301,-4.37585491653965,-6.29258220155308,-5.70213098836762,-6.04960327525499,-6.0315728102529,-5.44436250395082,0.22930386348465
"86",-1.15,-4.70530473987663,-5.50276519125688,-4.64212903067068,-5.65852659764009,-4.33879731178922,-6.2924453369093,-5.6825901403576,-5.94608739206279,-6.06380226702008,-5.42582755639814,0.231830725318459
"87",-1.14,-4.69717561080824,-5.46709289725298,-4.59537462840278,-5.71122242494678,-4.30730054183046,-6.29914913412285,-5.66050203321973,-5.8444439101816,-6.10398199255898,-5.40958257481382,0.235860191326523
"88",-1.13,-4.68897465290546,-5.43274832926552,-4.54506661510652,-5.76734619186148,-4.28170904696401,-6.31265845974514,-5.63621698712653,-5.74560643774637,-6.15162646135753,-5.39577257578651,0.241408704463684
"89",-1.12,-4.68058632310111,-5.40013670807127,-4.4915216444569,-5.82649881068916,-4.2623194841558,-6.3328615036471,-5.61012513613485,-5.65048353211101,-6.2061734898667,-5.3845229591371,0.248439355880967
"90",-1.11,-4.6719167886066,-5.36964962982487,-4.43510995861306,-5.88822609852422,-4.24937588727221,-6.35956993334633,-5.58265182247105,-5.5599491201346,-6.2669920884151,-5.37593792524534,0.256864749549149
"91",-1.1,-4.66289534888205,-5.3416592443627,-4.37625244563421,-5.95202275010776,-4.24306532011647,-6.39251994198563,-5.55425238188729,-5.47483322662209,-6.3333910748579,-5.37009908160623,0.266554009911499
"92",-1.09,-4.65347556168732,-5.3165127042089,-4.31541683595058,-6.01733711579587,-4.24351410134348,-6.43137421143796,-5.52540637675181,-5.39591311164301,-6.40462832576495,-5.36706426050932,0.277342189515532
"93",-1.08,-4.64363606613276,-5.2945269622786,-4.25311307315245,-6.08357673127587,-4.25078467406179,-6.47572478761537,-5.49661134457312,-5.32390491640474,-6.47992053283542,-5.36686656537001,0.289040307819401
"94",-1.07,-4.63338109592395,-5.27598399480894,-4.18988790699549,-6.15011453334902,-4.2648731704214,-6.52509685161595,-5.46837613946677,-5.25945592103865,-6.55845332915897,-5.36951366030879,0.301444686915311
"95",-1.06,-4.62274067736443,-5.26112651599107,-4.12631876792458,-6.21629568965296,-4.28570771888961,-6.57895336034902,-5.44121395372896,-5.2031375193311,-6.63939164602807,-5.37498731658442,0.314344845941274
"96",-1.05,-4.6117705174844,-5.25015424078026,-4.06300699744538,-6.28144496178204,-4.31314754516909,-6.6367005184529,-5.41563511108637,-5.15543900220297,-6.7218901523968,-5.38324322742225,0.327529736088707
"97",-1.04,-4.6005515953864,-5.24322074638754,-4.0005705215076,-6.34487450907113,-4.34698290929845,-6.69769403906179,-5.39213972759485,-5.11676222831027,-6.80510363454878,-5.39421110124076,0.340792439322821
"98",-1.03,-4.5891894684921,-5.24043097731311,-3.93963606351717,-6.40589202916968,-4.38693590479247,-6.76124613613482,-5.37121034872847,-5.08741725316104,-6.88819718444469,-5.40779504063928,0.353933615675636
"99",-1.02,-4.57781329765572,-5.2418394318908,-3.88083100512138,-6.46380913000464,-4.43266212479907,-6.82663317172531,-5.35330467318452,-5.06761897958303,-6.97035606646296,-5.42387420893638,0.366764017028381
"100",-1.01,-4.56657459291216,-5.2474490471202,-3.82477501103557,-6.51794982315692,-4.4837531899988,-6.89310387037428,-5.33884846690673,-5.05748488260066,-7.0507951300636,-5.4423037793521,0.379106347753134
"101",-1,-4.5556456934013,-5.25721078902486,-3.77207154343604,-6.56765901902959,-4.53974012428279,-6.95988800429238,-5.32822877169008,-5.05703384976821,-7.12876764621432,-5.46291616012662,0.390796688280784
"102",-0.99,-4.5452180022057,-5.27102395298879,-3.72329939160622,-6.61231090217452,-4.60009755634346,-7.02620544490267,-5.32178751398823,-5.06618616448969,-7.20357346435642,-5.4855224881173,0.401685633263937
"103",-0.98,-4.5354999984285,-5.28873716598406,-3.67900434221538,-6.65131706591649,-4.66424870941626,-7.09127547200306,-5.31981561928696,-5.0847646439171,-7.27456639573584,-5.50991437921152,0.411639241801614
"104",-0.97,-4.52671504471354,-5.31015006545506,-3.63969111720291,-6.68413428924582,-4.73157112861709,-7.15432622558308,-5.32254773027209,-5.1124969258126,-7.34116073467915,-5.53586591795348,0.420539855788344
"105",-0.96,-4.51909900215395,-5.3350156236515,-3.60581570834677,-6.71027184208187,-4.80140308131837,-7.21460417836424,-5.33015762098096,-5.14901888857394,-7.40283683991677,-5.56313586504315,0.42828681320486
"106",-0.95,-4.51289766861961,-5.36304308340633,-3.57777823385229,-6.72929821311316,-4.87305055776816,-7.27138349730286,-5.34275438934546,-5.19387917789931,-7.45914571314163,-5.5914700593832,0.434797063798307
"107",-0.94,-4.50836406172461,-5.39390145751224,-3.55591643403335,-6.74084715974766,-4.94579479745908,-7.32397516479371,-5.36037950461258,-5.24654479647882,-7.5097125342978,-5.62060399007332,0.44000568367642
"108",-0.93,-4.50575556977573,-5.42722353367708,-3.54049991423084,-6.74462298633704,-5.01890025478618,-7.37173573615024,-5.38300477535893,-5.30640769635526,-7.55423912953621,-5.65026551068972,0.443866279706707
"109",-0.92,-4.50533099251305,-5.4626103132089,-3.53172523355573,-6.74040496898388,-5.09162290289129,-7.41407561053524,-5.41053128791912,-5.37279229878824,-7.59250536029463,-5.68017766318779,0.446351272082684
"110",-0.91,-4.50734749328223,-5.49963581218618,-3.52971192666543,-6.72805085617537,-5.16321876814315,-7.45046669714084,-5.44278935561596,-5.44496385588068,-7.62436943113075,-5.71006157735784,0.447452042466943
"111",-0.9,-4.51205748865304,-5.53785216026529,-3.53449953357525,-6.70749937962432,-5.23295258532481,-7.48044936219803,-5.47953950098223,-5.52213755663577,-7.64976712536735,-5.73963941029179,0.44717893508836
"112",-0.89,-4.51970550120641,-5.57679492019058,-3.54604569805514,-6.67877172482028,-5.30010645766649,-7.50363854955106,-5.52047447664668,-5.60348827000008,-7.66870999711771,-5.7686372883616,0.445561100163879
"113",-0.88,-4.53052499956919,-5.61598854628312,-3.56422537647297,-6.64197193050981,-5.36398840544709,-7.51972897587442,-5.56522231460819,-5.68816080532785,-7.68128256094085,-5.7967882127815,0.442646170973297
"114",-0.87,-4.54473524866299,-5.65495189870031,-3.5888311849488,-6.5972862031494,-5.42394069347982,-7.52849931550433,-5.61335038061372,-5.77528055693511,-7.68763853712457,-5.82383489101323,0.438499767382433
"115",-0.86,-4.5625381958093,-5.69320373459159,-3.61957489674332,-6.54498115143411,-5.4793478291007,-7.52981530288194,-5.66437040261453,-5.86396439126505,-7.68799622703792,-5.84953245905316,0.433204819191201
"116",-0.85,-4.58411542035894,-5.73026809883098,-3.6560900798906,-6.48540096205018,-5.52964411760003,-7.52363169073366,-5.71774442479005,-5.9533316358891,-7.68263310049746,-5.87365105896011,0.426860701920211
"117",-0.84,-4.60962517386169,-5.765679533233,-3.69793584488213,-6.41896355215282,-5.57432066356757,-7.50999301554401,-5.77289162065446,-6.04251503339646,-7.67187968162023,-5.89597823543471,0.419582175460039
"118",-0.83,-4.63919953715769,-5.79898802857127,-3.74460165576973,-6.34615574404984,-5.61293171126031,-7.48903314338475,-5.82919588182496,-6.13067151488185,-7.65611282442723,-5.91632111570307,0.411498112298151
"119",-0.82,-4.67294171860829,-5.82976365139806,-3.79551314621277,-6.26752751549599,-5.64510022774473,-7.46097358898673,-5.88601408047071,-6.21699264722874,-7.63574848248218,-5.93450833984758,0.402749996750237
"120",-0.81,-4.71092352227856,-5.8576007908506,-3.85003886608417,-6.18368539201581,-5.67052264700382,-7.42612060950526,-5.94268489525598,-6.30071460955358,-7.61123408953681,-5.95039171356496,0.39349016947222
"121",-0.8,-4.75318301007815,-5.88212197176026,-3.90749786548648,-6.09528507276441,-5.68897271077988,-7.38486109446551,-5.99853808519773,-6.38112756053461,-7.58304066814046,-5.96384755991194,0.383879784618692
"122",-0.79,-4.79972238432744,-5.90298118127561,-3.96716801621475,-6.00302340006703,-5.70030434991286,-7.33765729544126,-6.0529040851298,-6.45758426678012,-7.55165478090716,-5.97477775111734,0.374086439985611
"123",-0.78,-4.85050612321203,-5.91986667285483,-4.02829496004686,-5.90762978753841,-5.70445355584319,-7.28504045384379,-6.1051237874535,-6.52950786961628,-7.51757044060983,-5.98311040566875,0.364281437360761
"124",-0.77,-4.90545939395887,-5.93250322177482,-4.09010155645779,-5.80985722193695,-5.70143920425976,-7.22760339921515,-6.15455836718244,-6.59639867571868,-7.48128109319811,-5.98880023707806,0.354636636860759
"125",-0.76,-4.96446676196998,-5.94065381710115,-4.1517976901032,-5.71047295631841,-5.69136280154835,-7.16599220277121,-6.2005990022546,-6.65783986965026,-7.44327178665237,-5.99182854315217,0.345320890030853
"126",-0.75,-5.02737121025614,-5.94412078141183,-4.21259029084035,-5.61024901753215,-5.6744071411272,-7.10089698641378,-6.24267634121552,-6.71350206558383,-7.40401163699742,-5.99220283015314,0.336496077845086
"127",-0.74,-5.09397349370607,-5.94274631350835,-4.27169342199107,-5.50995265851264,-5.65083387744491,-7.03304200609232,-6.28026956892908,-6.76314663068702,-7.36394669387446,-5.98995607386066,0.328312843640709
"128",-0.73,-5.16403185265978,-5.93641246233198,-4.32833829473859,-5.41033689315863,-5.62098004267224,-6.96317514320763,-6.31291492919118,-6.80662772637836,-7.32349330351818,-5.98514562753962,0.320906198093059
"129",-0.72,-5.23726210266127,-5.92504055177012,-4.3817830674877,-5.31213125333425,-5.58525354615912,-6.89205694630721,-6.34021356941985,-6.84389303041784,-7.2830320580274,-5.97785179173164,0.314391272099728
"130",-0.71,-5.31333810921199,-5.90859008390747,-4.43132228979376,-5.21603290124419,-5.54412770694979,-6.82044937189846,-6.36183857389974,-6.87498312227698,-7.24290240382429,-5.9681760625563,0.308859581345078
"131",-0.7,-5.39189264796298,-5.88705715736972,-4.47629585000604,-5.12269821755119,-5.49813487964354,-6.74910437537125,-6.37754106312555,-6.90002953444463,-7.20339797514655,-5.95623907784683,0.304376213088307
"132",-0.69,-5.47251866046047,-5.86047244248669,-4.51609729399782,-5.03273497448823,-5.44785924998119,-6.67875250883438,-6.38715524851904,-6.9192514942054,-7.16476270975001,-5.94217828696925,0.300978318271475
"133",-0.68,-5.55477091508914,-5.82889875905039,-4.55018139446468,-4.94669519964118,-5.39392889352816,-6.6100916961649,-6.39060234308392,-6.93295139579453,-7.12718779496091,-5.9261453768642,0.298675174315431
"134",-0.67,-5.63816806982407,-5.79242831456822,-4.57807086007212,-4.86506882660041,-5.33700720165661,-6.54377635171234,-6.3878932456436,-6.94150905964385,-7.09080948007859,-5.90830348997776,0.297449886550454
"135",-0.66,-5.72219512585033,-5.75117966681539,-4.59936208980628,-4.78827821847417,-5.27778378470861,-6.48040699951462,-6.37912993518921,-6.94537485434524,-7.05570777601545,-5.88882427230214,0.297262560099977
"136",-0.65,-5.80630625712565,-5.70529447621797,-4.61372989672629,-4.71667363511059,-5.2169649688857,-6.42052054625638,-6.3645055260613,-6.94506177487092,-7.02190605113161,-5.86788479248738,0.298054560657965
"137",-0.64,-5.88992800534312,-5.65493411838154,-4.62093114094609,-4.65052969578712,-5.15526401149509,-6.36458135424527,-6.34430295356336,-6.94113659417236,-6.98937151476531,-5.84566437652214,0.29975334827273
"138",-0.63,-5.97246282374285,-5.6002762249118,-4.62080722379259,-4.59004288246275,-5.09339116847809,-6.31297325238445,-6.31889228342738,-6.93421021648548,-6.95801656763656,-5.82234140481355,0.302277341899835
"139",-0.62,-6.05329294390333,-5.54151121686987,-4.6132854100987,-4.53533011630726,-5.03204374946848,-6.26599261205229,-6.28872666264475,-6.92492736711758,-6.92770099212572,-5.79809011895422,0.305540348925698
"140",-0.61,-6.13178454070967,-5.47883889544085,-4.59837896448974,-4.48642841578795,-4.97189629378513,-6.22384260284834,-6.25433694342214,-6.91395576968164,-6.89823494051778,-5.77307748518702,0.309455239536313
"141",-0.6,-6.20729216307421,-5.41246515213613,-4.57618610667551,-4.44329562459764,-4.91359100423082,-6.18662872749455,-6.21632502435933,-6.90197496838454,-6.86938266262711,-5.74746015928665,0.313936714585626
"142",-0.59,-6.27916339373394,-5.34259886092649,-4.5468878058493,-4.40581218345268,-4.85772857266489,-6.15435571750554,-6.1753559777126,-6.88966495509597,-6.84086690776618,-5.72138159718973,0.318903169753315
"143",-0.58,-6.34674369929185,-5.26944901100384,-4.51074445265299,-4.37378390957784,-4.80485952910589,-6.12692585467033,-6.13214906033008,-6.87769476689569,-6.81237393237228,-5.69496935732231,0.324277773666071
"144",-0.57,-6.40938143329214,-5.19322213175829,-4.46809146574039,-4.34694573334127,-4.75547624272019,-6.10413876347759,-6.08746772803335,-6.86671122662131,-6.78355903572926,-5.66833264007931,0.329988945406138
"145",-0.56,-6.46643294748408,-5.11412005524441,-4.41933390475212,-4.32496632730368,-4.71000569009119,-6.0856926994803,-6.04210878177468,-6.85732800378555,-6.75405253805474,-5.64156010533008,0.335970441441205
"146",-0.55,-6.51726776211959,-5.03233804992255,-4.36494017822433,-4.30745354898129,-4.66880309331969,-6.07118733423642,-5.99689078558955,-6.85011516605052,-6.72346611128204,-5.61471800330288,0.342161253042793
