"","seconds","X1","X2","X3","X4","average","SE"
"119",-0.82,-8.62313706223356,1.75326666484669,-5.85421803870628,-8.74305383641979,-5.36678556812823,2.46535573305861
"120",-0.81,-8.63422182196635,1.65556572335344,-5.89022749042029,-8.73921000275394,-5.40202339794679,2.4432189922406
"121",-0.8,-8.63782016053224,1.55478381426655,-5.91670954420365,-8.72004624717229,-5.42994803441041,2.417619448833
"122",-0.79,-8.63422934753949,1.45173664750528,-5.93409674539772,-8.68640487342874,-5.45074857971517,2.38889704695529
"123",-0.78,-8.62379208980993,1.34740493701467,-5.9428303323968,-8.63929352740749,-5.46462775314989,2.3574578321244
"124",-0.77,-8.6068901993619,1.24292801894498,-5.94335668984814,-8.57987336225012,-5.47179805812879,2.32376936361654
"125",-0.76,-8.58393807447161,1.13959407599485,-5.93612438552927,-8.50944526668547,-5.47247841267287,2.28835492371912
"126",-0.75,-8.55537608745239,1.03882701594386,-5.92158175835407,-8.42943429584773,-5.46689128142758,2.25178657780692
"127",-0.74,-8.52166397559226,0.94217012081727,-5.90017501034041,-8.34137246135227,-5.45526033161692,2.21467717734562
"128",-0.73,-8.48327432976427,0.851266648555878,-5.87234674765978,-8.24688006397402,-5.43780862321055,2.17767144148384
"129",-0.72,-8.4406862646516,0.767837617369388,-5.83853491384164,-8.14764577746533,-5.41475733464729,2.14143629580039
"130",-0.71,-8.39437934612384,0.693657054973462,-5.79917205142088,-8.04540570329372,-5.38632501146625,2.10665069111552
"131",-0.7,-8.34482784176406,0.630525044724059,-5.75468482014778,-7.94192162825264,-5.3527273113601,2.0739951661413
"132",-0.69,-8.29249535675785,0.580238949566643,-5.70549370217686,-7.83895872657414,-5.31417720898555,2.04414144872918
"133",-0.68,-8.23782990870335,0.544563240019676,-5.65201282735856,-7.73826296196975,-5.27088561450299,2.01774240079575
"134",-0.67,-8.18125947807332,0.525198388729788,-5.59464985029716,-7.64153846027752,-5.22306234997955,1.99542258964786
"135",-0.66,-8.12318806653517,0.523749319184616,-5.53380581322788,-7.55042512844906,-5.17091742225687,1.97776970687685
"136",-0.65,-8.06399228944574,0.541693914045111,-5.46987493911251,-7.46647679465278,-5.11466252729148,1.96532695420412
"137",-0.64,-8.00401851848942,0.580352103422999,-5.40324430731256,-7.39114013738367,-5.05451271494066,1.95858638310967
"138",-0.63,-7.9435805758462,0.640856054651375,-5.33429337232098,-7.32573466656895,-4.99068814002119,1.95798303088726
"139",-0.62,-7.8829579699107,0.72412198087152,-5.26339330038705,-7.27143401607833,-4.92341582637614,1.96388957356008
"140",-0.61,-7.82239465445337,0.830824075064736,-5.19090610694073,-7.22924879887971,-4.85293137130227,1.97661114879793
"141",-0.6,-7.76209828785454,0.961371055729123,-5.11718358765632,-7.20001126087183,-4.77948052016339,1.99638001545053
"142",-0.59,-7.7022399679432,1.11588578208489,-5.04256604546391,-7.18436195091063,-4.70332054555821,2.02334982042814
"143",-0.58,-7.6429544121199,1.29418836035271,-4.96738083184496,-7.18273860294138,-4.62472137163838,2.05758942218448
"144",-0.57,-7.58434054535276,1.49578311745125,-4.89194072925283,-7.19536740400693,-4.54396639029032,2.09907643570433
"145",-0.56,-7.52646245295793,1.71984976654642,-4.81654220635807,-7.22225680100485,-4.46135292344361,2.14769086793408
